Quarterly Results,,,,,,,,,,,,,
Standalone Figures in Rs. Crores / View Consolidated,,,,,,,,,,,,,
,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25,Mar-26
Sales +,"1,127","1,140","1,219","1,265","1,225","1,210","1,326","1,433","1,870","1,772","1,981","2,486","2,658"
Expenses +,"1,032","1,072","1,109","1,092","1,066","1,136","1,218","1,346","1,672","1,674","1,797","2,213","2,397"
Operating Profit,94,68,110,173,159,74,108,87,198,98,184,272,261
OPM %,8%,6%,9%,14%,13%,6%,8%,6%,11%,6%,9%,11%,10%
Other Income +,208,197,36,308,218,90,199,109,79,148,266,-17,431
Interest,13,14,18,19,22,17,5,13,19,17,14,19,20
Depreciation,30,30,31,32,34,31,38,41,70,47,49,76,83
Profit before tax,259,221,97,429,321,115,263,143,187,182,386,160,589
Tax %,7%,5%,21%,4%,8%,29%,13%,26%,23%,17%,14%,26%,6%
Net Profit +,241,211,77,410,294,81,230,106,144,151,332,118,553
EPS in Rs,7.9,6.91,2.49,13.28,9.51,2.43,6.88,3.17,4.32,4.51,9.93,3.53,16.46
,,,,,,,,,,,,,
